Date,Open,High,Low,Close,Volume,Adjusted Close
2014-12-29,427.39,428.32,422.86,426.89,0.0,426.89
2014-12-24,425.97,427.44,425.33,425.57,0.0,425.57
2014-12-23,423.04,426.77,422.64,426.77,0.0,426.77
2014-12-22,419.76,424.08,419.76,421.58,0.0,421.58
2014-12-19,420.66,421.35,414.39,418.37,0.0,418.37
2014-12-18,410.09,416.56,407.97,416.44,128151200.0,416.44
2014-12-17,399.16,404.53,397.09,403.46,107624500.0,403.46
2014-12-16,397.66,404.17,389.31,403.79,177484100.0,403.79
2014-12-15,405.21,408.89,395.61,396.09,106704700.0,396.09
2014-12-12,413.66,414.35,405.63,406.17,100317800.0,406.17
2014-12-11,415.35,418.52,413.89,416.77,82329000.0,416.77
2014-12-10,419.31,421.39,415.64,416.71,89327900.0,416.71
2014-12-09,423.31,424.37,418.16,418.43,99858400.0,418.43
2014-12-08,429.65,430.62,427.27,427.27,60126800.0,427.27
2014-12-05,426.73,431.22,426.69,431.06,80066600.0,431.06
2014-12-04,430.25,432.22,422.86,423.68,106427900.0,423.68
2014-12-03,428.53,429.93,428.29,428.61,70375300.0,428.61
2014-12-02,424.86,428.84,424.64,428.48,88318800.0,428.48
2014-12-01,422.82,424.45,421.61,423.47,75867000.0,423.47
2014-11-28,425.56,426.02,422.97,425.86,85080500.0,425.86
2014-11-27,425.09,426.99,425.04,425.75,73926900.0,425.75
2014-11-26,424.02,425.48,423.5,423.97,60791800.0,423.97
2014-11-25,423.13,425.75,421.66,423.18,100857900.0,423.18
2014-11-24,423.61,425.84,422.32,422.91,90747100.0,422.91
2014-11-21,417.89,424.73,417.3,423.46,141684200.0,423.46
2014-11-20,417.99,418.33,414.37,416.81,87192300.0,416.81
2014-11-19,416.98,419.44,416.13,417.79,75945100.0,417.79
2014-11-18,414.39,417.81,413.81,417.16,76088700.0,417.16
2014-11-17,408.83,414.8,408.61,414.07,72971700.0,414.07
2014-11-14,412.56,412.56,408.99,411.97,75836800.0,411.97
2014-11-13,412.77,413.83,408.87,411.41,110072300.0,411.41
2014-11-12,413.93,415.62,411.14,411.93,98544100.0,411.93
2014-11-11,416.11,417.41,414.05,415.18,85074900.0,415.18
2014-11-10,410.77,415.02,410.77,414.96,87446100.0,414.96
2014-11-07,414.73,414.97,409.46,411.43,92772600.0,411.43
2014-11-06,409.14,415.74,408.76,413.15,123331200.0,413.15
2014-11-05,407.31,411.16,406.04,410.66,106328200.0,410.66
2014-11-04,408.49,410.31,403.15,403.78,101763900.0,403.78
2014-11-03,411.28,412.81,408.34,409.04,79093600.0,409.04
2014-10-31,408.73,411.81,407.25,411.32,119203000.0,411.32
2014-10-30,404.34,405.01,396.3,403.71,113772800.0,403.71
2014-10-29,403.28,403.5,400.4,401.1,94302500.0,401.1
2014-10-28,397.33,401.98,397.33,401.26,90952000.0,401.26
2014-10-27,400.21,400.68,392.69,395.05,99774900.0,395.05
2014-10-24,395.84,396.49,393.45,396.12,85380000.0,396.12
2014-10-23,392.37,397.39,389.42,396.89,100392800.0,396.89
2014-10-22,395.51,396.17,392.45,396.01,100218600.0,396.01
2014-10-21,383.61,394.49,381.56,394.49,119190600.0,394.49
2014-10-20,386.31,387.16,380.86,384.4,108544500.0,384.4
2014-10-17,378.47,387.66,376.18,387.06,158549600.0,387.06
2014-10-16,381.95,383.89,366.84,376.27,216165900.0,376.27
2014-10-15,393.24,394.28,379.53,379.69,159125100.0,379.69
2014-10-14,391.29,393.97,386.4,393.3,108929800.0,393.3
2014-10-13,391.96,396.51,390.6,394.33,100273200.0,394.33
2014-10-10,399.1,400.31,394.28,395.68,119192500.0,395.68
2014-10-09,407.99,408.2,401.19,402.66,101431300.0,402.66
2014-10-08,404.01,405.4,402.32,403.46,90200300.0,403.46
2014-10-07,411.08,411.08,406.51,406.51,73192300.0,406.51
2014-10-06,413.26,414.4,410.98,412.24,68638000.0,412.24
2014-10-03,409.86,412.51,408.85,411.19,78795400.0,411.19
2014-10-02,415.31,415.67,406.22,406.22,116016500.0,406.22
2014-10-01,419.68,421.48,415.93,416.8,88382800.0,416.8
2014-09-30,419.26,421.95,418.6,421.14,81314800.0,421.14
2014-09-29,418.63,419.45,415.7,418.18,65205700.0,418.18
2014-09-26,417.65,419.41,415.22,418.49,74394700.0,418.49
2014-09-25,421.83,422.84,416.57,417.25,88315500.0,417.25
2014-09-24,418.89,421.48,417.23,421.42,96240900.0,421.42
2014-09-23,421.88,422.33,417.05,418.83,81591800.0,418.83
2014-09-22,422.93,423.52,421.65,422.05,83651300.0,422.05
2014-09-19,424.77,425.74,422.79,425.74,153644100.0,425.74
2014-09-18,418.54,422.18,418.18,422.05,77069200.0,422.05
2014-09-17,418.94,419.97,417.79,417.84,77777800.0,417.84
2014-09-16,417.81,417.99,415.87,417.4,60538600.0,417.4
2014-09-15,416.71,418.43,415.71,417.65,57978700.0,417.65
2014-09-12,418.65,419.14,417.07,417.8,47744700.0,417.8
2014-09-11,420.24,420.46,416.17,418.01,59238300.0,418.01
2014-09-10,417.22,419.36,416.46,418.95,66632500.0,418.95
2014-09-09,419.97,420.6,418.06,418.4,66992300.0,418.4
2014-09-08,421.29,421.29,418.41,420.6,57578700.0,420.6
2014-09-05,421.11,421.77,419.61,421.11,81440000.0,421.11
2014-09-04,416.64,422.77,416.35,421.59,100323600.0,421.59
2014-09-03,416.28,418.88,415.89,417.21,86742900.0,417.21
2014-09-02,415.0,416.19,413.88,415.0,61128800.0,415.0
2014-09-01,413.4,414.23,413.13,414.23,48680000.0,414.23
2014-08-29,412.78,413.34,410.08,413.13,66867200.0,413.13
2014-08-28,412.28,412.72,410.62,412.14,64857200.0,412.14
2014-08-27,412.37,413.6,412.03,413.19,60581500.0,413.19
2014-08-26,409.12,413.02,408.42,412.93,70093300.0,412.93
2014-08-25,407.25,409.47,406.35,409.32,39145200.0,409.32
2014-08-22,406.39,406.41,402.54,404.48,56290800.0,404.48
2014-08-21,403.37,405.77,402.68,405.77,58317400.0,405.77
2014-08-20,403.81,404.81,402.17,403.32,51431300.0,403.32
2014-08-19,401.13,403.68,400.83,403.31,48463300.0,403.31
2014-08-18,398.53,400.2,398.53,399.91,51156700.0,399.91
2014-08-15,396.87,400.53,395.24,395.35,84144100.0,395.35
2014-08-14,394.04,396.8,393.79,395.84,69528400.0,395.84
2014-08-13,395.19,396.39,393.93,395.27,60435600.0,395.27
2014-08-12,396.34,396.9,393.66,394.22,64555500.0,394.22
2014-08-11,393.39,397.31,392.84,396.65,73846000.0,396.65
2014-08-08,390.58,391.78,388.14,390.25,107061300.0,390.25
2014-08-07,396.98,398.66,394.04,394.2,99485000.0,394.2
2014-08-06,396.23,398.1,393.35,397.21,95424600.0,397.21
2014-08-05,397.04,399.13,396.54,398.38,79029500.0,398.38
2014-08-04,400.48,400.48,394.74,395.95,79801600.0,395.95
2014-08-01,403.35,404.62,397.25,398.56,118150100.0,398.56
2014-07-31,408.7,409.39,403.42,404.29,107941600.0,404.29
2014-07-30,407.24,410.4,405.77,407.96,104371100.0,407.96
2014-07-29,405.89,408.63,403.87,407.31,76706500.0,407.31
2014-07-28,405.82,406.22,401.88,404.68,70373900.0,404.68
2014-07-25,408.96,409.83,403.73,404.84,62247100.0,404.84
2014-07-24,407.93,410.3,405.81,409.98,68916400.0,409.98
2014-07-23,407.2,409.92,406.46,408.53,65800100.0,408.53
2014-07-22,405.82,408.26,405.45,407.95,67154700.0,407.95
2014-07-21,404.48,404.6,401.9,403.71,66018400.0,403.71
2014-07-18,403.4,404.49,401.56,404.4,85661500.0,404.4
2014-07-17,407.09,408.51,404.6,404.84,77667800.0,404.84
2014-07-16,404.41,408.78,404.41,408.78,73496100.0,408.78
2014-07-15,405.48,406.78,404.01,404.01,74484700.0,404.01
2014-07-14,404.16,407.1,403.78,406.55,60775500.0,406.55
2014-07-11,404.22,405.04,402.31,403.61,70488600.0,403.61
2014-07-10,409.89,410.07,402.15,403.39,108150400.0,403.39
2014-07-09,410.54,411.15,408.8,410.49,69390500.0,410.49
2014-07-08,414.11,414.86,409.76,409.76,79517000.0,409.76
2014-07-07,418.3,418.47,414.12,414.12,68959100.0,414.12
2014-07-04,419.29,419.94,418.7,418.7,43856700.0,418.7
2014-07-03,416.73,419.85,415.95,419.53,89848700.0,419.53
2014-07-02,415.58,417.2,415.25,415.85,97988300.0,415.85
2014-07-01,413.8,415.69,413.44,415.48,57038800.0,415.48
2014-06-30,411.35,413.94,411.15,413.15,70823500.0,413.15
2014-06-27,411.33,411.83,410.03,410.86,56788400.0,410.86
2014-06-26,412.7,412.74,408.6,410.81,72748700.0,410.81
2014-06-25,413.97,413.97,410.54,411.93,73673400.0,411.93
2014-06-24,416.83,416.97,414.74,415.78,53930400.0,415.78
2014-06-23,418.3,418.3,414.87,415.59,59951100.0,415.59
2014-06-20,417.65,419.57,417.14,417.9,105818500.0,417.9
2014-06-19,418.55,419.04,417.45,417.98,77935700.0,417.98
2014-06-18,415.22,416.77,414.93,415.48,72855800.0,415.48
2014-06-17,414.35,414.83,412.88,414.58,75322200.0,414.58
2014-06-16,413.18,414.11,412.24,412.54,62941700.0,412.54
2014-06-13,414.77,414.96,412.25,414.05,66157800.0,414.05
2014-06-12,414.9,415.91,414.04,414.74,60270000.0,414.74
2014-06-11,415.13,415.52,412.69,414.45,65336300.0,414.45
2014-06-10,414.94,415.86,414.59,415.86,65822400.0,415.86
2014-06-09,413.81,415.46,413.77,415.46,49037700.0,415.46
2014-06-06,411.46,413.49,411.04,413.26,111005600.0,413.26
2014-06-05,408.06,413.29,406.59,410.97,104927700.0,410.97
2014-06-04,407.75,408.85,406.5,408.07,64879900.0,408.07
2014-06-03,408.88,408.95,407.36,408.61,55829500.0,408.61
2014-06-02,408.6,409.29,407.8,408.77,54417300.0,408.77
2014-05-30,407.51,408.34,406.59,407.21,82608400.0,407.21
2014-05-29,405.39,407.74,405.39,407.44,46905400.0,407.44
2014-05-28,405.95,406.15,404.61,405.94,73617400.0,405.94
2014-05-27,406.7,407.76,406.43,406.81,74811500.0,406.81
